# WikiLean join fabric — Wikidata QID ↔ Mathlib declaration.
# Released CC0 (public domain). Source: wikilean.jackmccarthy.org
# tier: merged = @[wikidata] tag reviewed & merged into mathlib master;
#       mathlib-maintainer = from mathlib docs/1000.yaml; ai(-verified) = catalog mapping.
# Columns: qid\tdecl\tmodule\ttier\tlabel
Q167	Real.pi	Mathlib.Analysis.SpecialFunctions.Trigonometric.Basic	merged	Pi
Q199	MulOneClass	Mathlib.Algebra.Group.Defs	ai	1
Q200	Nat.prime_two	Mathlib.Data.Nat.Prime.Defs	ai	2
Q204	MulZeroClass	Mathlib.Algebra.GroupWithZero.Defs	ai	0
Q205	Infinite	Mathlib.Data.Finite.Defs	ai	Infinity
Q209	Rectangle	Mathlib.Data.Complex.Basic	ai	Rectangle
Q210	InnerProductGeometry.inner_eq_zero_iff_angle_eq_pi_div_two	Mathlib.Geometry.Euclidean.Angle.Unoriented.Basic	ai	Right angle
Q2658	Matrix.exists_list_transvec_mul_mul_list_transvec_eq_diagonal	Mathlib.LinearAlgebra.Matrix.Transvection	ai	Gaussian elimination
Q2878	ZMod.dft	Mathlib.Analysis.Fourier.ZMod	ai	Discrete Fourier transform
Q3913	Nat.bits	Mathlib.Data.Nat.Bits	ai	Binary number
Q8078	FirstOrder.Language	Mathlib.ModelTheory.Basic	ai	Logic
Q8084	Real.sin	Mathlib.Analysis.Complex.Trigonometric	ai	Trigonometry
Q9492	IsProbabilityMeasure	Mathlib.MeasureTheory.Measure.Typeclasses.Probability	ai	Probability
Q11028	Real.binEntropy	Mathlib.Analysis.SpecialFunctions.BinaryEntropy	ai	Information
Q11197	Real.log	Mathlib.Analysis.SpecialFunctions.Log.Basic	merged	Logarithm
Q11203	Matrix.mulVec	Mathlib.Data.Matrix.Mul	ai	System of linear equations
Q11210	Basis	Mathlib.LinearAlgebra.Basis.Defs	ai	Coordinate system
Q11214	IsIntegralCurve	Mathlib.Analysis.ODE.Basic	ai	Differential equation
Q11352	InnerProductGeometry.angle	Mathlib.Geometry.Euclidean.Angle.Unoriented.Basic	merged	Angle
Q11500	Orientation.areaForm	Mathlib.Analysis.InnerProductSpace.TwoDim	ai	Area
