# QuickStatements v1 — REPLACE PXXXX with the property id once created.
# Value = fully-qualified Mathlib declaration name (proposal Option A).
# Source: @[wikidata] tags merged into leanprover-community/mathlib4 master,
# each reviewed by >=2 humans incl. a maintainer (PR provenance in property_seed.tsv).
Q11352	PXXXX	"InnerProductGeometry.angle"
Q11567	PXXXX	"Complex"
Q12916	PXXXX	"Real"
Q17295	PXXXX	"EuclideanSpace"
Q43260	PXXXX	"Polynomial"
Q44337	PXXXX	"Matrix"
Q45715	PXXXX	"SimpleGraph.completeGraph"
Q49008	PXXXX	"Nat.Prime"
Q53875	PXXXX	"AffineSubspace.Parallel"
Q83478	PXXXX	"Group"
Q104752	PXXXX	"IsCoprime"
Q120976	PXXXX	"Nat.factorial"
Q133871	PXXXX	"ProbabilityTheory.gaussianReal"
Q141488	PXXXX	"SimpleGraph"
Q161172	PXXXX	"Ring"
Q163875	PXXXX	"Cardinal"
Q170058	PXXXX	"Continuous"
Q175199	PXXXX	"ProbabilityTheory.variance"
Q178546	PXXXX	"Matrix.det"
Q179208	PXXXX	"Equiv.Perm.subgroupOfMulAction"
Q180953	PXXXX	"MetricSpace"
Q181296	PXXXX	"CommGroup"
Q184743	PXXXX	"Function.Periodic"
Q187235	PXXXX	"riemannZeta"
Q189112	PXXXX	"CategoryTheory.Iso"
Q189136	PXXXX	"exists_ratio_deriv_eq_ratio_slope"
Q189569	PXXXX	"Module.Basis"
Q190391	PXXXX	"ProbabilityTheory.tendstoInDistribution_inv_sqrt_mul_sum_sub"
Q190546	PXXXX	"inner_mul_inner_self_le"
Q191780	PXXXX	"Ordinal"
Q192760	PXXXX	"Complex.isAlgClosed"
Q193286	PXXXX	"exists_deriv_eq_zero"
Q193878	PXXXX	"Ideal.quotientInfRingEquivPiQuotient"
Q203484	PXXXX	"InnerProductSpace.laplacianWithin"
Q205692	PXXXX	"ProbabilityTheory.poissonMeasure"
Q205966	PXXXX	"RiemannHypothesis"
Q209675	PXXXX	"Distribution.delta"
Q213363	PXXXX	"IsOpen"
Q214159	PXXXX	"InnerProductSpace"
Q220680	PXXXX	"ContractingWith.exists_fixedPoint"
Q237193	PXXXX	"ProbabilityTheory.expMeasure"
Q245098	PXXXX	"intermediate_value_Icc"
Q245462	PXXXX	"IsCyclic"
Q253214	PXXXX	"Metric.isCompact_iff_isClosed_bounded"
Q288465	PXXXX	"MulAction"
Q311627	PXXXX	"Padic"
Q318737	PXXXX	"CategoryTheory.Abelian"
Q327069	PXXXX	"ProbabilityTheory.cond"
Q364089	PXXXX	"LinearRecurrence"
Q381892	PXXXX	"CompactSpace"
Q386228	PXXXX	"ProbabilityTheory.cdf"
Q431078	PXXXX	"FreeGroup"
Q438814	PXXXX	"alternatingGroup"
Q466109	PXXXX	"Subgroup"
Q505798	PXXXX	"Subgroup.card_subgroup_dvd_card"
Q516776	PXXXX	"Measurable"
Q534131	PXXXX	"RootPairing.IsRootSystem"
Q571124	PXXXX	"IsSimpleGroup"
Q582271	PXXXX	"IsNoetherianRing"
Q607728	PXXXX	"Irrational"
Q616608	PXXXX	"NumberField"
Q619436	PXXXX	"Ideal.Quotient.ring"
Q652446	PXXXX	"UniformSpace"
Q659746	PXXXX	"IsWellOrder"
Q674689	PXXXX	"CliffordAlgebra"
Q719395	PXXXX	"CategoryTheory.Category"
Q743179	PXXXX	"Subgroup.Normal"
Q746083	PXXXX	"ContinuousMap.Homotopy"
Q746550	PXXXX	"TangentBundle"
Q752487	PXXXX	"Module.Dual"
Q759832	PXXXX	"IsSolvable"
Q833293	PXXXX	"trapezoidal_integral"
Q838611	PXXXX	"Metric.ball"
Q845060	PXXXX	"IsExtrOn"
Q847073	PXXXX	"EuclideanSpace.dist_eq"
Q848569	PXXXX	"CompleteSpace"
Q858656	PXXXX	"CommRing"
Q863912	PXXXX	"Ideal.IsPrime"
Q864475	PXXXX	"CategoryTheory.Functor"
Q866116	PXXXX	"exists_extension_norm_eq"
Q867345	PXXXX	"EuclideanDomain"
Q868169	PXXXX	"MonoidHom"
Q909601	PXXXX	"TangentSpace"
Q929536	PXXXX	"Subring"
Q939927	PXXXX	"ContinuousMap.subalgebra_topologicalClosure_eq_top_of_separatesPoints"
Q942423	PXXXX	"Module.Projective"
Q1003025	PXXXX	"PowerSeries"
Q1052579	PXXXX	"UniqueFactorizationMonoid"
Q1052678	PXXXX	"dense_iInter_of_isOpen"
Q1062242	PXXXX	"CategoryTheory.GrothendieckTopology"
Q1063579	PXXXX	"DirichletCharacter"
Q1071270	PXXXX	"intervalIntegral.integral_comp_mul_deriv"
Q1138992	PXXXX	"lucas_lehmer_sufficiency"
Q1142704	PXXXX	"IsLocalRing"
Q1148456	PXXXX	"Computable"
Q1194212	PXXXX	"RingHom"
Q1203540	PXXXX	"Ideal.IsMaximal"
Q1283623	PXXXX	"Order.cof"
Q1330377	PXXXX	"MulAction.sum_card_fixedBy_eq_card_orbits_mul_card_group"
Q1411887	PXXXX	"TendstoUniformly"
Q1442189	PXXXX	"CategoryTheory.NatTrans"
Q1491995	PXXXX	"ConnectedSpace"
Q1497184	PXXXX	"FractionalIdeal"
Q1572357	PXXXX	"LocallyConvexSpace"
Q1755242	PXXXX	"IsNilpotent"
Q1780005	PXXXX	"CategoryTheory.Comma"
Q1780743	PXXXX	"IsCompactOperator"
Q1816967	PXXXX	"exists_continuous_zero_one_of_isClosed"
Q1945014	PXXXX	"CategoryTheory.MonoidalCategory"
Q2039387	PXXXX	"EReal"
Q2256541	PXXXX	"ConvexCone"
Q2584477	PXXXX	"Real"
Q2989575	PXXXX	"Irreducible"
Q3229345	PXXXX	"Subgroup.closure_mul_image_eq"
Q3773677	PXXXX	"Int.ModEq"
Q4115724	PXXXX	"GenContFract"
Q7315530	PXXXX	"IsLocalRing.ResidueField"
Q25378068	PXXXX	"StandardBorelSpace"
Q66707394	PXXXX	"Countable"
